Drug_ID,Gene_ID,Disease_ID
944,77,5484
335,70,1637
946,17,765
946,17,4229
946,17,5290
946,17,1708
946,17,5087
946,17,3136
946,17,5355
173,606,3085
948,591,2840
951,433,2494
951,433,4376
951,433,4579
62,607,76
824,74,3705
195,8,5185
195,8,5148
195,8,847
954,610,4405
954,610,5362
954,610,5071
954,610,581
581,250,4097
581,250,5240
581,250,1055
958,612,3503
961,17,765
961,17,4229
961,17,5290
961,17,1708
961,17,5087
961,17,3136
961,17,5355
962,6,4293
965,8,5185
965,8,5148
965,8,847
966,53,3928
966,53,5211
488,74,3705
418,17,765
418,17,4229
418,17,5290
418,17,1708
418,17,5087
418,17,3136
418,17,5355
213,325,53
213,325,3471
213,325,4838
967,180,2959
61,57,2085
61,57,2521
61,57,4813
55,615,2463
55,615,4209
103,565,389
103,565,3007
103,565,5311
198,57,2085
198,57,2521
198,57,4813
969,74,3705
340,397,5304
395,619,2685
972,620,2750
974,56,2443
974,56,5586
974,56,4313
974,56,2612
974,56,5284
974,56,5661
975,8,5185
975,8,5148
975,8,847
359,89,5105
359,89,5474
976,326,5344
977,74,3705
978,290,2356
979,622,1700
980,65,284
980,65,415
980,65,5660
981,453,20
981,453,5675
984,112,1141
984,112,3721
984,112,2159
984,112,1212
985,453,20
985,453,5675
986,627,555
986,627,1576
987,628,1580
169,328,4784
314,6,4293
990,629,1956
990,629,2134
993,17,765
993,17,4229
993,17,5290
993,17,1708
993,17,5087
993,17,3136
993,17,5355
844,67,1301
164,434,4016
164,434,4308
34,213,2471
54,69,2608
54,69,3880
744,325,53
744,325,3471
744,325,4838
816,636,143
816,636,5600
816,636,2512
816,636,733
816,636,2395
999,17,765
999,17,4229
999,17,5290
999,17,1708
999,17,5087
999,17,3136
999,17,5355
1000,125,271
919,74,3705
1001,130,3499
1002,639,2836
1003,26,2638
1003,26,3272
1003,26,5259
1005,74,3705
1010,100,3292
1011,641,1936
200,615,2463
200,615,4209
51,329,159
51,329,4837
517,643,3608
507,57,2085
507,57,2521
507,57,4813
345,17,765
345,17,4229
345,17,5290
345,17,1708
345,17,5087
345,17,3136
345,17,5355
1015,123,2747
200,57,2085
200,57,2521
200,57,4813
517,35,5260
517,35,2241
1016,124,4630
1016,124,4678
159,74,3705
154,8,5185
154,8,5148
154,8,847
476,517,323
476,517,5625
476,517,2600
1021,457,5587
1022,518,4112
373,639,2836
1025,17,765
1025,17,4229
1025,17,5290
1025,17,1708
1025,17,5087
1025,17,3136
1025,17,5355
1026,650,1345
1026,650,4969
1027,26,2638
1027,26,3272
1027,26,5259
1028,166,2004
1028,166,5466
1029,319,5565
1029,319,4102
1029,319,1344
1031,213,2471
398,356,4298
398,356,5107
398,356,5664
1032,453,20
1032,453,5675
1033,652,4160
356,57,2085
356,57,2521
